loss,model,value,lo,hi
ls,garch_g,-3.0957550430991883,-3.2924467583108363,-2.9232711651275
ls,garch_t,-2.4216009580449094,-2.8255310419263706,-2.002790345542001
ls,axx_gh,-2.259188989961815,-2.744839015898234,-1.7296698691714103
ls,spread_gh,-2.2602077880600095,-2.772469977659813,-1.7251083135458016
ql,garch_g,6.7797429076055264,6.023830948774313,7.931518041193974
ql,garch_t,38511.08987076503,4637.911621815494,81956.87583585469
ql,axx_gh,7.119667240812775,6.570032782920963,7.767083169290175
ql,spread_gh,6.980185409780792,6.486883344733662,7.586602697558577
mse,garch_g,206404.90848673234,77831.37860300312,438461.19749577524
mse,garch_t,521209.7701399765,134401.48130145879,1097529.0040723041
mse,axx_gh,130155.195725493,31092.29471765962,336062.2315121731
mse,spread_gh,126631.47764874107,31330.427182502906,320117.9028739811
