loss,pair,d,lo,hi
ls,garch_t->axx_gh,0.16241196808309422,-0.0015994034208342406,0.3370073664707659
ls,garch_t->spread_gh,0.1613931699848996,-0.01304568466891407,0.3356585138596475
ls,axx_gh->spread_gh,-0.0010187980981946317,-0.003275547763988499,0.0010736924623952245
ls,garch_g->garch_t,0.6741540850542789,0.434109553151234,0.9883274890049091
ls,garch_g->axx_gh,0.8365660531373731,0.4807337398650775,1.2157698529412702
ql,garch_t->axx_gh,38503.97020352421,4467.727770512732,81462.1468047623
ql,garch_t->spread_gh,38504.10968535524,4666.503091103901,86712.80282592749
ql,axx_gh->spread_gh,0.13948183103198408,0.07833934825363564,0.2216085025405261
ql,garch_g->garch_t,-38504.31012785742,-84028.62447239207,-4989.6747834156695
ql,garch_g->axx_gh,-0.339924333207249,-0.8683176721760505,0.3060481812709505
mse,garch_t->axx_gh,391054.5744144836,100964.17532885089,842643.543135
mse,garch_t->spread_gh,394578.29249123554,92735.9122211959,861347.8074264211
mse,axx_gh->spread_gh,3523.718076751927,651.5139955307858,9223.900239425064
mse,garch_g->garch_t,-314804.86165324436,-725938.4192379105,-53337.88090980065
mse,garch_g->axx_gh,76249.71276123934,33414.43720070158,131173.36289543298
